unitid,year,fips,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,sex,yield
101310,2001,1,NA,NA,NA,NA,0,1,NA
101310,2001,1,NA,NA,NA,NA,0,2,NA
101310,2001,1,NA,NA,0,0,0,99,NA
101347,2001,1,NA,NA,NA,NA,0,1,NA
101347,2001,1,NA,NA,NA,NA,0,2,NA
101347,2001,1,NA,NA,0,0,0,99,NA
101365,2001,1,83,56,39,2,41,1,0.674698795180723
101365,2001,1,63,42,30,1,31,2,0.666666666666667
101365,2001,1,146,98,69,3,72,99,0.671232876712329
101392,2001,1,NA,NA,NA,NA,0,1,NA
101392,2001,1,NA,NA,NA,NA,0,2,NA
101392,2001,1,NA,NA,0,0,0,99,NA
101417,2001,1,NA,NA,NA,NA,0,1,NA
101417,2001,1,NA,NA,NA,NA,0,2,NA
101417,2001,1,NA,NA,0,0,0,99,NA
101435,2001,1,197,155,52,0,52,1,0.786802030456853
101435,2001,1,382,318,100,0,100,2,0.832460732984293
101435,2001,1,579,473,152,0,152,99,0.81692573402418
101444,2001,1,NA,NA,NA,NA,0,1,NA
101444,2001,1,NA,NA,NA,NA,0,2,NA
101444,2001,1,NA,NA,0,0,0,99,NA
101453,2001,1,NA,NA,NA,NA,0,1,NA
101453,2001,1,NA,NA,NA,NA,0,2,NA
101453,2001,1,NA,NA,0,0,0,99,NA
101462,2001,1,NA,NA,NA,NA,0,1,NA
101462,2001,1,NA,NA,NA,NA,0,2,NA
101462,2001,1,NA,NA,0,0,0,99,NA
101471,2001,1,NA,NA,NA,NA,0,1,NA
101471,2001,1,NA,NA,NA,NA,0,2,NA
101471,2001,1,NA,NA,0,0,0,99,NA
101480,2001,1,NA,NA,453,7,460,1,NA
101480,2001,1,NA,NA,590,13,603,2,NA
101480,2001,1,NA,NA,1043,20,1063,99,NA
101499,2001,1,NA,NA,NA,NA,0,1,NA
101499,2001,1,NA,NA,NA,NA,0,2,NA
101499,2001,1,NA,NA,0,0,0,99,NA
101505,2001,1,NA,NA,NA,NA,0,1,NA
101505,2001,1,NA,NA,NA,NA,0,2,NA
101505,2001,1,NA,NA,0,0,0,99,NA
101514,2001,1,NA,NA,NA,NA,0,1,NA
101514,2001,1,NA,NA,NA,NA,0,2,NA
101514,2001,1,NA,NA,0,0,0,99,NA
101523,2001,1,NA,NA,NA,NA,0,1,NA
101523,2001,1,NA,NA,NA,NA,0,2,NA
101523,2001,1,NA,NA,0,0,0,99,NA
101532,2001,1,NA,NA,NA,NA,0,1,NA
101532,2001,1,NA,NA,NA,NA,0,2,NA
101532,2001,1,NA,NA,0,0,0,99,NA
101541,2001,1,NA,NA,NA,NA,0,1,NA
101541,2001,1,335,271,102,NA,102,2,0.808955223880597
101541,2001,1,NA,NA,102,0,102,99,NA
101569,2001,1,NA,NA,NA,NA,0,1,NA
101569,2001,1,NA,NA,NA,NA,0,2,NA
101569,2001,1,NA,NA,0,0,0,99,NA
101587,2001,1,453,305,192,5,197,1,0.673289183222958
101587,2001,1,391,277,159,4,163,2,0.70843989769821
101587,2001,1,844,582,351,9,360,99,0.68957345971564
101602,2001,1,NA,NA,NA,NA,0,1,NA
101602,2001,1,NA,NA,NA,NA,0,2,NA
101602,2001,1,NA,NA,0,0,0,99,NA
101648,2001,1,199,152,92,0,92,1,0.763819095477387
101648,2001,1,36,25,11,0,11,2,0.694444444444444
101648,2001,1,235,177,103,0,103,99,0.753191489361702
101657,2001,1,NA,NA,NA,NA,0,1,NA
101657,2001,1,NA,NA,NA,NA,0,2,NA
101657,2001,1,NA,NA,0,0,0,99,NA
101675,2001,1,NA,NA,NA,NA,0,1,NA
101675,2001,1,NA,NA,NA,NA,0,2,NA
101675,2001,1,NA,NA,0,0,0,99,NA
101693,2001,1,146,140,72,3,75,1,0.958904109589041
101693,2001,1,304,300,136,9,145,2,0.986842105263158
101693,2001,1,450,440,208,12,220,99,0.977777777777778
101709,2001,1,433,324,194,2,196,1,0.748267898383372
101709,2001,1,906,648,328,9,337,2,0.71523178807947
101709,2001,1,1339,972,522,11,533,99,0.725914861837192
101736,2001,1,NA,NA,NA,NA,0,1,NA
101736,2001,1,NA,NA,NA,NA,0,2,NA
101736,2001,1,NA,NA,0,0,0,99,NA
101879,2001,1,NA,NA,351,5,356,1,NA
101879,2001,1,NA,NA,465,8,473,2,NA
101879,2001,1,NA,NA,816,13,829,99,NA
101897,2001,1,NA,NA,NA,NA,0,1,NA
101897,2001,1,NA,NA,NA,NA,0,2,NA
101897,2001,1,NA,NA,0,0,0,99,NA
101912,2001,1,NA,NA,NA,NA,0,1,NA
101912,2001,1,NA,NA,NA,NA,0,2,NA
101912,2001,1,NA,NA,0,0,0,99,NA
101949,2001,1,NA,NA,NA,NA,0,1,NA
101949,2001,1,NA,NA,NA,NA,0,2,NA
101949,2001,1,NA,NA,0,0,0,99,NA
101958,2001,1,NA,NA,NA,NA,0,1,NA
101958,2001,1,NA,NA,NA,NA,0,2,NA
101958,2001,1,NA,NA,0,0,0,99,NA
101985,2001,1,NA,NA,NA,NA,0,1,NA
101985,2001,1,NA,NA,NA,NA,0,2,NA
101985,2001,1,NA,NA,0,0,0,99,NA
101994,2001,1,NA,NA,NA,NA,0,1,NA
101994,2001,1,NA,NA,NA,NA,0,2,NA
101994,2001,1,NA,NA,0,0,0,99,NA
102030,2001,1,NA,NA,NA,NA,0,1,NA
102030,2001,1,NA,NA,NA,NA,0,2,NA
102030,2001,1,NA,NA,0,0,0,99,NA
102049,2001,1,658,566,224,NA,224,1,0.860182370820669
102049,2001,1,1245,1109,436,3,439,2,0.890763052208835
102049,2001,1,1903,1675,660,3,663,99,0.880189174986863
102058,2001,1,NA,NA,NA,NA,0,1,NA
102058,2001,1,NA,NA,NA,NA,0,2,NA
102058,2001,1,NA,NA,0,0,0,99,NA
102067,2001,1,NA,NA,NA,NA,0,1,NA
102067,2001,1,NA,NA,NA,NA,0,2,NA
102067,2001,1,NA,NA,0,0,0,99,NA
102076,2001,1,NA,NA,NA,NA,0,1,NA
102076,2001,1,NA,NA,NA,NA,0,2,NA
102076,2001,1,NA,NA,0,0,0,99,NA
102094,2001,1,1116,1042,481,153,634,1,0.933691756272401
102094,2001,1,1531,1430,635,188,823,2,0.93403004572175
102094,2001,1,2647,2472,1116,341,1457,99,0.933887419720438
102100,2001,1,NA,NA,NA,NA,0,1,NA
102100,2001,1,NA,NA,NA,NA,0,2,NA
102100,2001,1,NA,NA,0,0,0,99,NA
102119,2001,1,NA,NA,NA,NA,0,1,NA
102119,2001,1,NA,NA,NA,NA,0,2,NA
102119,2001,1,NA,NA,0,0,0,99,NA
102216,2001,1,NA,NA,NA,NA,0,1,NA
102216,2001,1,NA,NA,NA,NA,0,2,NA
102216,2001,1,NA,NA,0,0,0,99,NA
102234,2001,1,375,273,114,0,114,1,0.728
102234,2001,1,625,501,137,0,137,2,0.8016
102234,2001,1,1000,774,251,0,251,99,0.774
102261,2001,1,74,47,38,9,47,1,0.635135135135135
102261,2001,1,32,15,12,3,15,2,0.46875
102261,2001,1,106,62,50,12,62,99,0.584905660377358
102270,2001,1,NA,NA,NA,NA,0,1,NA
102270,2001,1,NA,NA,NA,NA,0,2,NA
102270,2001,1,NA,NA,0,0,0,99,NA
102298,2001,1,NA,NA,69,3,72,1,NA
102298,2001,1,NA,NA,123,1,124,2,NA
102298,2001,1,NA,NA,192,4,196,99,NA
102313,2001,1,NA,NA,NA,NA,0,1,NA
102313,2001,1,NA,NA,NA,NA,0,2,NA
102313,2001,1,NA,NA,0,0,0,99,NA
102322,2001,1,42,25,12,7,19,1,0.595238095238095
102322,2001,1,64,37,17,9,26,2,0.578125
102322,2001,1,106,62,29,16,45,99,0.584905660377358
102331,2001,1,NA,NA,NA,NA,0,1,NA
102331,2001,1,NA,NA,NA,NA,0,2,NA
102331,2001,1,NA,NA,0,0,0,99,NA
102359,2001,1,NA,NA,NA,NA,0,1,NA
102359,2001,1,NA,NA,NA,NA,0,2,NA
102359,2001,1,NA,NA,0,0,0,99,NA
102368,2001,1,1180,707,346,29,375,1,0.599152542372881
102368,2001,1,1236,835,400,15,415,2,0.675566343042071
102368,2001,1,2416,1542,746,44,790,99,0.638245033112583
102377,2001,1,812,590,237,4,241,1,0.726600985221675
102377,2001,1,1247,885,354,2,356,2,0.709703287890938
102377,2001,1,2059,1475,591,6,597,99,0.716367168528412
102395,2001,1,NA,NA,NA,NA,0,1,NA
102395,2001,1,NA,NA,NA,NA,0,2,NA
102395,2001,1,NA,NA,0,0,0,99,NA
102429,2001,1,NA,NA,NA,NA,0,1,NA
102429,2001,1,NA,NA,NA,NA,0,2,NA
102429,2001,1,NA,NA,0,0,0,99,NA
102438,2001,1,NA,NA,NA,NA,0,1,NA
102438,2001,1,NA,NA,NA,NA,0,2,NA
102438,2001,1,NA,NA,0,0,0,99,NA
102508,2001,2,NA,NA,NA,NA,0,1,NA
102508,2001,2,NA,NA,NA,NA,0,2,NA
102508,2001,2,NA,NA,0,0,0,99,NA
102553,2001,2,723,686,404,88,492,1,0.948824343015214
102553,2001,2,1045,1003,593,164,757,2,0.959808612440191
102553,2001,2,1768,1689,997,252,1249,99,0.955316742081448
102562,2001,2,NA,NA,NA,NA,0,1,NA
102562,2001,2,NA,NA,NA,NA,0,2,NA
102562,2001,2,NA,NA,0,0,0,99,NA
102580,2001,2,9,7,7,0,7,1,0.777777777777778
102580,2001,2,4,3,2,0,2,2,0.75
102580,2001,2,13,10,9,0,9,99,0.769230769230769
102614,2001,2,883,688,371,72,443,1,0.77916194790487
102614,2001,2,874,695,376,70,446,2,0.795194508009153
102614,2001,2,1757,1383,747,142,889,99,0.787137165623221
102623,2001,2,NA,NA,NA,NA,0,1,NA
102623,2001,2,NA,NA,NA,NA,0,2,NA
102623,2001,2,NA,NA,0,0,0,99,NA
102632,2001,2,NA,NA,NA,NA,0,1,NA
102632,2001,2,NA,NA,NA,NA,0,2,NA
102632,2001,2,NA,NA,0,0,0,99,NA
102669,2001,2,21,20,14,2,16,1,0.952380952380952
102669,2001,2,33,32,26,2,28,2,0.96969696969697
102669,2001,2,54,52,40,4,44,99,0.962962962962963
102711,2001,2,NA,NA,NA,NA,0,1,NA
102711,2001,2,NA,NA,NA,NA,0,2,NA
102711,2001,2,NA,NA,0,0,0,99,NA
102845,2001,2,NA,NA,NA,NA,0,1,NA
102845,2001,2,NA,NA,NA,NA,0,2,NA
102845,2001,2,NA,NA,0,0,0,99,NA
102906,2001,2,NA,NA,NA,NA,0,1,NA
102906,2001,2,NA,NA,NA,NA,0,2,NA
102906,2001,2,NA,NA,0,0,0,99,NA
102915,2001,2,NA,NA,NA,NA,0,1,NA
102915,2001,2,NA,NA,NA,NA,0,2,NA
102915,2001,2,NA,NA,0,0,0,99,NA
102960,2001,2,NA,NA,NA,NA,0,1,NA
102960,2001,2,NA,NA,NA,NA,0,2,NA
102960,2001,2,NA,NA,0,0,0,99,NA
103024,2001,2,NA,NA,NA,NA,0,1,NA
103024,2001,2,NA,NA,NA,NA,0,2,NA
103024,2001,2,NA,NA,0,0,0,99,NA
103121,2001,2,NA,NA,NA,NA,0,1,NA
103121,2001,2,NA,NA,NA,NA,0,2,NA
103121,2001,2,NA,NA,0,0,0,99,NA
103194,2001,2,NA,NA,NA,NA,0,1,NA
103194,2001,2,NA,NA,NA,NA,0,2,NA
103194,2001,2,NA,NA,0,0,0,99,NA
103246,2001,2,NA,NA,NA,NA,0,1,NA
103246,2001,2,NA,NA,NA,NA,0,2,NA
103246,2001,2,NA,NA,0,0,0,99,NA
103255,2001,2,NA,NA,NA,NA,0,1,NA
103255,2001,2,NA,NA,NA,NA,0,2,NA
103255,2001,2,NA,NA,0,0,0,99,NA
103352,2001,2,NA,NA,NA,NA,0,1,NA
103352,2001,2,NA,NA,NA,NA,0,2,NA
103352,2001,2,NA,NA,0,0,0,99,NA
103361,2001,2,NA,NA,NA,NA,0,1,NA
103361,2001,2,NA,NA,NA,NA,0,2,NA
103361,2001,2,NA,NA,0,0,0,99,NA
103440,2001,2,NA,NA,NA,NA,0,1,NA
103440,2001,2,NA,NA,NA,NA,0,2,NA
103440,2001,2,NA,NA,0,0,0,99,NA
103495,2001,2,NA,NA,NA,NA,0,1,NA
103495,2001,2,NA,NA,NA,NA,0,2,NA
103495,2001,2,NA,NA,0,0,0,99,NA
103501,2001,2,NA,NA,NA,NA,0,1,NA
103501,2001,2,NA,NA,NA,NA,0,2,NA
103501,2001,2,NA,NA,0,0,0,99,NA
103510,2001,2,NA,NA,NA,NA,0,1,NA
103510,2001,2,NA,NA,NA,NA,0,2,NA
103510,2001,2,NA,NA,0,0,0,99,NA
103529,2001,2,NA,NA,NA,NA,0,1,NA
103529,2001,2,NA,NA,NA,NA,0,2,NA
103529,2001,2,NA,NA,0,0,0,99,NA
103583,2001,2,NA,NA,NA,NA,0,1,NA
103583,2001,2,NA,NA,NA,NA,0,2,NA
103583,2001,2,NA,NA,0,0,0,99,NA
103644,2001,4,165,145,113,0,113,1,0.878787878787879
103644,2001,4,310,282,212,0,212,2,0.909677419354839
103644,2001,4,475,427,325,0,325,99,0.898947368421053
103723,2001,4,413,232,232,0,232,1,0.561743341404358
103723,2001,4,257,105,105,0,105,2,0.408560311284047
103723,2001,4,670,337,337,0,337,99,0.502985074626866
103732,2001,4,NA,NA,NA,NA,0,1,NA
103732,2001,4,NA,NA,NA,NA,0,2,NA
103732,2001,4,NA,NA,0,0,0,99,NA
103741,2001,4,NA,NA,NA,NA,0,1,NA
103741,2001,4,NA,NA,NA,NA,0,2,NA
103741,2001,4,NA,NA,0,0,0,99,NA
103778,2001,4,NA,NA,NA,NA,0,1,NA
103778,2001,4,NA,NA,NA,NA,0,2,NA
103778,2001,4,NA,NA,0,0,0,99,NA
103787,2001,4,6,4,4,0,4,1,0.666666666666667
103787,2001,4,12,4,4,0,4,2,0.333333333333333
103787,2001,4,18,8,8,0,8,99,0.444444444444444
103811,2001,4,623,438,352,0,352,1,0.703049759229534
103811,2001,4,77,62,54,0,54,2,0.805194805194805
103811,2001,4,700,500,406,0,406,99,0.714285714285714
103893,2001,4,44,34,34,0,34,1,0.772727272727273
103893,2001,4,393,317,317,0,317,2,0.806615776081425
103893,2001,4,437,351,351,0,351,99,0.803203661327231
103909,2001,4,33,27,27,0,27,1,0.818181818181818
103909,2001,4,349,307,307,0,307,2,0.879656160458453
103909,2001,4,382,334,334,0,334,99,0.87434554973822
103927,2001,4,72,65,65,0,65,1,0.902777777777778
103927,2001,4,360,330,330,0,330,2,0.916666666666667
103927,2001,4,432,395,395,0,395,99,0.914351851851852
103945,2001,4,NA,NA,NA,NA,0,1,NA
103945,2001,4,NA,NA,NA,NA,0,2,NA
103945,2001,4,NA,NA,0,0,0,99,NA
103954,2001,4,NA,NA,NA,NA,0,1,NA
103954,2001,4,NA,NA,NA,NA,0,2,NA
103954,2001,4,NA,NA,0,0,0,99,NA
103963,2001,4,454,409,409,0,409,1,0.900881057268722
103963,2001,4,14,11,11,0,11,2,0.785714285714286
103963,2001,4,468,420,420,0,420,99,0.897435897435897
103972,2001,4,NA,NA,NA,NA,0,1,NA
103972,2001,4,NA,NA,NA,NA,0,2,NA
103972,2001,4,NA,NA,0,0,0,99,NA
104072,2001,4,NA,NA,NA,NA,0,1,NA
104072,2001,4,NA,NA,NA,NA,0,2,NA
104072,2001,4,NA,NA,0,0,0,99,NA
104090,2001,4,NA,NA,NA,NA,0,1,NA
104090,2001,4,NA,NA,NA,NA,0,2,NA
104090,2001,4,NA,NA,0,0,0,99,NA
104151,2001,4,10072,7385,2821,119,2940,1,0.733220810166799
104151,2001,4,10789,8317,3162,101,3263,2,0.770877745852257
104151,2001,4,20861,15702,5983,220,6203,99,0.752696419155362
104160,2001,4,NA,NA,NA,NA,0,1,NA
104160,2001,4,NA,NA,NA,NA,0,2,NA
104160,2001,4,NA,NA,0,0,0,99,NA
104179,2001,4,9437,7764,2722,102,2824,1,0.822719084454806
104179,2001,4,10282,8849,3005,120,3125,2,0.860630227582182
104179,2001,4,19719,16613,5727,222,5949,99,0.842486941528475
104188,2001,4,NA,NA,NA,NA,0,1,NA
104188,2001,4,NA,NA,NA,NA,0,2,NA
104188,2001,4,NA,NA,0,0,0,99,NA
104249,2001,4,NA,NA,NA,NA,0,1,NA
104249,2001,4,NA,NA,NA,NA,0,2,NA
104249,2001,4,NA,NA,0,0,0,99,NA
104267,2001,4,NA,NA,NA,NA,0,1,NA
104267,2001,4,NA,NA,NA,NA,0,2,NA
104267,2001,4,NA,NA,0,0,0,99,NA
104276,2001,4,NA,NA,NA,NA,0,1,NA
104276,2001,4,NA,NA,NA,NA,0,2,NA
104276,2001,4,NA,NA,0,0,0,99,NA
104294,2001,4,NA,NA,NA,NA,0,1,NA
104294,2001,4,NA,NA,NA,NA,0,2,NA
104294,2001,4,NA,NA,0,0,0,99,NA
104346,2001,4,NA,NA,NA,NA,0,1,NA
104346,2001,4,NA,NA,NA,NA,0,2,NA
104346,2001,4,NA,NA,0,0,0,99,NA
104355,2001,4,NA,NA,NA,NA,0,1,NA
104355,2001,4,NA,NA,NA,NA,0,2,NA
104355,2001,4,NA,NA,0,0,0,99,NA
104364,2001,4,NA,NA,NA,NA,0,1,NA
104364,2001,4,NA,NA,NA,NA,0,2,NA
104364,2001,4,NA,NA,0,0,0,99,NA
104382,2001,4,NA,NA,NA,NA,0,1,NA
104382,2001,4,NA,NA,NA,NA,0,2,NA
104382,2001,4,NA,NA,0,0,0,99,NA
104391,2001,4,3,3,NA,NA,0,1,1
104391,2001,4,18,15,NA,NA,0,2,0.833333333333333
104391,2001,4,21,18,0,0,0,99,0.857142857142857
104425,2001,4,NA,NA,NA,NA,0,1,NA
104425,2001,4,NA,NA,NA,NA,0,2,NA
104425,2001,4,NA,NA,0,0,0,99,NA
104434,2001,4,NA,NA,NA,NA,0,1,NA
104434,2001,4,NA,NA,NA,NA,0,2,NA
104434,2001,4,NA,NA,0,0,0,99,NA
104443,2001,4,NA,NA,NA,NA,0,1,NA
104443,2001,4,NA,NA,NA,NA,0,2,NA
104443,2001,4,NA,NA,0,0,0,99,NA
104504,2001,4,NA,NA,NA,NA,0,1,NA
104504,2001,4,NA,NA,NA,NA,0,2,NA
104504,2001,4,NA,NA,0,0,0,99,NA
104522,2001,4,NA,NA,NA,NA,0,1,NA
104522,2001,4,NA,NA,NA,NA,0,2,NA
104522,2001,4,NA,NA,0,0,0,99,NA
104531,2001,4,1642,1090,612,201,813,1,0.663824604141291
104531,2001,4,540,292,139,62,201,2,0.540740740740741
104531,2001,4,2182,1382,751,263,1014,99,0.633363886342805
104568,2001,4,NA,NA,NA,NA,0,1,NA
104568,2001,4,NA,NA,NA,NA,0,2,NA
104568,2001,4,NA,NA,0,0,0,99,NA
104577,2001,4,NA,NA,NA,NA,0,1,NA
104577,2001,4,NA,NA,NA,NA,0,2,NA
104577,2001,4,NA,NA,0,0,0,99,NA
104586,2001,4,1108,856,300,2,302,1,0.772563176895307
104586,2001,4,230,191,73,0,73,2,0.830434782608696
104586,2001,4,1338,1047,373,2,375,99,0.782511210762332
104647,2001,4,NA,NA,NA,NA,0,1,NA
104647,2001,4,NA,NA,NA,NA,0,2,NA
104647,2001,4,NA,NA,0,0,0,99,NA
104656,2001,4,NA,NA,NA,NA,0,1,NA
104656,2001,4,NA,NA,NA,NA,0,2,NA
104656,2001,4,NA,NA,0,0,0,99,NA
104665,2001,4,NA,NA,NA,NA,0,1,NA
104665,2001,4,NA,NA,NA,NA,0,2,NA
104665,2001,4,NA,NA,0,0,0,99,NA
104708,2001,4,NA,NA,NA,NA,0,1,NA
104708,2001,4,NA,NA,NA,NA,0,2,NA
104708,2001,4,NA,NA,0,0,0,99,NA
104717,2001,4,272,168,75,1,76,1,0.61764705882353
104717,2001,4,551,399,171,1,172,2,0.724137931034483
104717,2001,4,823,567,246,2,248,99,0.688942891859052
104762,2001,4,NA,NA,NA,NA,0,1,NA
104762,2001,4,NA,NA,NA,NA,0,2,NA
104762,2001,4,NA,NA,0,0,0,99,NA
104805,2001,4,NA,NA,NA,NA,0,1,NA
104805,2001,4,NA,NA,NA,NA,0,2,NA
104805,2001,4,NA,NA,0,0,0,99,NA
104869,2001,4,NA,NA,NA,NA,0,1,NA
104869,2001,4,NA,NA,NA,NA,0,2,NA
104869,2001,4,NA,NA,0,0,0,99,NA
104911,2001,4,NA,NA,NA,NA,0,1,NA
104911,2001,4,NA,NA,NA,NA,0,2,NA
104911,2001,4,NA,NA,0,0,0,99,NA
104920,2001,4,NA,NA,NA,NA,0,1,NA
104920,2001,4,NA,NA,NA,NA,0,2,NA
104920,2001,4,NA,NA,0,0,0,99,NA
104948,2001,4,NA,NA,NA,NA,0,1,NA
104948,2001,4,NA,NA,NA,NA,0,2,NA
104948,2001,4,NA,NA,0,0,0,99,NA
104984,2001,4,NA,NA,NA,NA,0,1,NA
104984,2001,4,NA,NA,NA,NA,0,2,NA
104984,2001,4,NA,NA,0,0,0,99,NA
105011,2001,4,NA,NA,NA,NA,0,1,NA
105011,2001,4,NA,NA,NA,NA,0,2,NA
105011,2001,4,NA,NA,0,0,0,99,NA
105075,2001,4,NA,NA,NA,NA,0,1,NA
105075,2001,4,NA,NA,NA,NA,0,2,NA
105075,2001,4,NA,NA,0,0,0,99,NA
